Date,ticker,Positive_Prob,Negative_Prob,Neutral_Prob,Sentiment_Score,Article_Count,Positive_Count,Negative_Count,Neutral_Count,Has_News
2026-08-19,AAPL,0.42561543,0.14324325,0.4311413,0.28237215,9,4,1,4,1
2026-08-19,AMZN,0.30198687,0.17533328,0.52267987,0.12665358,20,6,4,10,1
2026-08-19,GOOGL,0.3854203,0.13171758,0.48286211,0.25370273,27,11,3,13,1
2026-08-19,JNJ,0.5827714,0.06785109,0.34937745,0.51492035,5,3,0,2,1
2026-08-19,JPM,0.051720228,0.048015524,0.90026426,0.0037047043,3,0,0,3,1
2026-08-19,META,0.13276379,0.31520337,0.5520328,-0.18243958,14,1,5,8,1
2026-08-19,MSFT,0.09608478,0.21088,0.69303524,-0.11479522,9,0,2,7,1
2026-08-19,PG,0.41408503,0.17448784,0.4114271,0.2395972,4,2,0,2,1
2026-08-19,XOM,0.8532771,0.03834328,0.10837962,0.8149338,2,2,0,0,1
2026-08-20,AAPL,0.10642078,0.35287565,0.5407036,-0.24645488,15,0,6,9,1
2026-08-20,AMZN,0.3002396,0.14170097,0.55805945,0.15853861,21,7,3,11,1
2026-08-20,GOOGL,0.3496539,0.20115344,0.44919267,0.14850047,26,9,5,12,1
2026-08-20,JNJ,0.35981253,0.13235179,0.5078356,0.22746073,9,3,1,5,1
2026-08-20,JPM,0.4322208,0.4842284,0.083550826,-0.052007616,2,1,1,0,1
2026-08-20,META,0.287916,0.27807063,0.43401337,0.009845369,24,6,7,11,1
2026-08-20,MSFT,0.18526259,0.3862427,0.42849472,-0.2009801,11,2,5,4,1
2026-08-20,PG,0.014261159,0.94480747,0.040931314,-0.9305463,1,0,1,0,1
2026-08-20,XOM,0.64558107,0.062184215,0.29223472,0.5833968,5,3,0,2,1
2026-08-21,AAPL,0.21471189,0.20771794,0.57757014,0.0069939396,14,2,2,10,1
2026-08-21,AMZN,0.23396003,0.18643263,0.5796073,0.04752741,25,4,4,17,1
2026-08-21,GOOGL,0.2838975,0.21176626,0.5043363,0.07213122,23,5,5,13,1
2026-08-21,JNJ,0.5820796,0.12873457,0.28918582,0.45334503,14,8,2,4,1
2026-08-21,JPM,0.37454987,0.20528369,0.42016643,0.16926618,20,6,4,10,1
2026-08-21,META,0.24940488,0.40691218,0.34368294,-0.15750729,13,3,5,5,1
2026-08-21,MSFT,0.26178235,0.12501153,0.61320615,0.13677083,22,5,2,15,1
2026-08-21,PG,0.29701167,0.24678719,0.45620117,0.050224494,10,3,2,5,1
2026-08-21,XOM,0.5152224,0.23571141,0.24906617,0.27951097,12,6,3,3,1
2026-08-22,AAPL,0.22194903,0.3778033,0.4002477,-0.15585427,18,3,7,8,1
2026-08-22,AMZN,0.32206005,0.14043218,0.5375078,0.18162784,10,3,1,6,1
2026-08-22,GOOGL,0.1115087,0.024888495,0.8636028,0.08662019,3,0,0,3,1
2026-08-22,JPM,0.26846948,0.23959684,0.49193367,0.028872628,2,1,0,1,1
2026-08-22,META,0.4046607,0.13319546,0.46214384,0.27146524,14,6,2,6,1
2026-08-22,MSFT,0.09306398,0.24476025,0.6621758,-0.15169628,9,0,3,6,1
2026-08-22,PG,0.21592015,0.010077692,0.77400213,0.20584247,1,0,0,1,1
2026-08-22,XOM,0.23589416,0.24414119,0.5199647,-0.008247036,5,1,1,3,1
2026-08-23,AAPL,0.3008359,0.17189904,0.5272651,0.12893687,8,3,1,4,1
2026-08-23,AMZN,0.47438273,0.11001716,0.4156001,0.36436558,12,5,1,6,1
2026-08-23,GOOGL,0.38322762,0.03765464,0.5791177,0.34557298,3,1,0,2,1
2026-08-23,JNJ,0.48689625,0.20309287,0.31001088,0.2838034,2,1,0,1,1
2026-08-23,JPM,0.22009487,0.4858408,0.29406437,-0.26574588,5,1,3,1,1
2026-08-23,META,0.29101512,0.33120406,0.37778085,-0.04018893,15,4,6,5,1
2026-08-23,MSFT,0.33196846,0.17812203,0.4899095,0.15384641,13,4,2,7,1
2026-08-23,PG,0.24178384,0.020120692,0.73809546,0.22166315,1,0,0,1,1
2026-08-23,XOM,0.3585102,0.31196815,0.3295216,0.04654207,5,1,2,2,1
2026-08-24,AAPL,0.25356558,0.19123968,0.55519474,0.062325913,17,4,3,10,1
2026-08-24,AMZN,0.30376244,0.28026563,0.41597196,0.023496807,27,7,8,12,1
2026-08-24,GOOGL,0.37940145,0.2614937,0.35910487,0.117907725,21,6,5,10,1
2026-08-24,JNJ,0.35229772,0.10626314,0.5414391,0.2460346,7,3,0,4,1
2026-08-24,JPM,0.07932836,0.114127174,0.8065445,-0.03479881,5,0,0,5,1
2026-08-24,META,0.2071676,0.40915844,0.383674,-0.20199081,21,3,10,8,1
2026-08-24,MSFT,0.3241978,0.35156232,0.32423988,-0.027364528,30,8,11,11,1
2026-08-24,PG,0.38296166,0.24937165,0.36766672,0.13359004,3,1,1,1,1
2026-08-24,XOM,0.19978556,0.19081739,0.60939705,0.008968179,7,1,1,5,1
2026-08-25,AAPL,0.24675448,0.11000276,0.6432427,0.13675174,9,2,1,6,1
2026-08-25,AMZN,0.32428047,0.20379925,0.47192028,0.12048119,17,5,3,9,1
2026-08-25,GOOGL,0.3363346,0.051412746,0.61225265,0.28492182,18,7,0,11,1
2026-08-25,JNJ,0.4041283,0.048343413,0.54752827,0.3557849,4,2,0,2,1
2026-08-25,JPM,0.32519236,0.29142174,0.3833859,0.03377059,5,1,2,2,1
2026-08-25,META,0.31831998,0.22333708,0.45834294,0.09498291,16,5,3,8,1
2026-08-25,MSFT,0.31451002,0.20816235,0.47732762,0.106347665,17,5,3,9,1
2026-08-25,PG,0.040070802,0.083195046,0.87673414,-0.043124244,2,0,0,2,1
2026-08-25,XOM,0.047885098,0.93900126,0.013113583,-0.89111614,1,0,1,0,1
2026-08-26,AAPL,0.19367969,0.074509755,0.73181057,0.11916992,17,3,1,13,1
2026-08-26,AMZN,0.24010457,0.15921113,0.6006843,0.08089344,28,6,4,18,1
2026-08-26,GOOGL,0.17824927,0.18381247,0.63793826,-0.005563209,30,5,5,20,1
2026-08-26,JNJ,0.04386798,0.13627572,0.8198563,-0.09240775,2,0,0,2,1
2026-08-26,JPM,0.2694114,0.020034347,0.71055424,0.24937707,2,1,0,1,1
2026-08-26,META,0.18908545,0.2742366,0.53667796,-0.085151136,39,6,9,24,1
2026-08-26,MSFT,0.18631259,0.24881029,0.5648771,-0.06249771,22,3,5,14,1
2026-08-26,NVDA,0.29718715,0.1443365,0.5584764,0.15285063,69,19,8,42,1
2026-08-26,PG,0.48944613,0.10040601,0.41014782,0.3890401,3,2,0,1,1
2026-08-26,XOM,0.12674177,0.46159708,0.41166112,-0.33485532,4,0,2,2,1
2026-08-27,AAPL,0.31149632,0.062397122,0.62610656,0.2490992,12,4,0,8,1
2026-08-27,AMZN,0.2790629,0.17507045,0.54586667,0.10399244,24,6,4,14,1
2026-08-27,GOOGL,0.2644636,0.15396377,0.5815726,0.11049984,23,6,3,14,1
2026-08-27,JNJ,0.057282183,0.045999777,0.896718,0.011282411,3,0,0,3,1
